
param Generacion :=
9 21 3 0.0
9 21 4 0.0
9 21 5 0.0
9 21 6 0.1085
9 21 7 0.2996
9 21 8 0.4515
9 21 9 0.6496
9 21 10 0.8117
9 21 11 1.0271
9 21 12 1.0633
9 21 13 0.8997
9 21 14 0.882
9 21 15 0.9018
9 21 16 0.7651
9 21 17 0.4877
9 21 18 0.3273
9 21 19 0.0946
9 21 20 0.0
9 21 21 0.0
9 21 22 0.0
9 21 23 0.0
9 21 24 0.0
9 22 1 0.0
9 22 2 0.0
9 22 3 0.0
9 22 4 0.0
9 22 5 0.0
9 22 6 0.1095
9 22 7 0.3127
9 22 8 0.4968
9 22 9 0.659
9 22 10 0.8782
9 22 11 1.03
9 22 12 1.0739
9 22 13 0.9193
9 22 14 0.8332
9 22 15 0.7676
9 22 16 0.6693
9 22 17 0.4721
9 22 18 0.314
9 22 19 0.1083
9 22 20 0.0
9 22 21 0.0
9 22 22 0.0
9 22 23 0.0
9 22 24 0.0
9 23 1 0.0
9 23 2 0.0
9 23 3 0.0
9 23 4 0.0
9 23 5 0.0
9 23 6 0.1036
9 23 7 0.3134
9 23 8 0.4716
9 23 9 0.7204
9 23 10 0.9113
9 23 11 0.986
9 23 12 1.0368
9 23 13 0.9943
9 23 14 0.8961
9 23 15 0.9196
9 23 16 0.727
9 23 17 0.5085
9 23 18 0.282
9 23 19 0.1044
9 23 20 0.0
9 23 21 0.0
9 23 22 0.0
9 23 23 0.0
9 23 24 0.0
9 24 1 0.0
9 24 2 0.0
9 24 3 0.0
9 24 4 0.0
9 24 5 0.0
9 24 6 0.0958
9 24 7 0.2893
9 24 8 0.4643
9 24 9 0.648
9 24 10 0.864
9 24 11 1.0325
9 24 12 0.9858
9 24 13 0.8951
9 24 14 0.9174
9 24 15 0.7668
9 24 16 0.7421
9 24 17 0.4929
9 24 18 0.2933
9 24 19 0.0948
9 24 20 0.0
9 24 21 0.0
9 24 22 0.0
9 24 23 0.0
9 24 24 0.0
9 25 1 0.0
9 25 2 0.0
9 25 3 0.0
9 25 4 0.0
9 25 5 0.0
9 25 6 0.1026
9 25 7 0.3235
9 25 8 0.4965
9 25 9 0.752
9 25 10 0.8765
9 25 11 0.9481
9 25 12 1.0149
9 25 13 1.0271
9 25 14 0.9115
9 25 15 0.8009
9 25 16 0.6681
9 25 17 0.4996
9 25 18 0.2811
9 25 19 0.109
9 25 20 0.0
9 25 21 0.0
9 25 22 0.0
9 25 23 0.0
9 25 24 0.0
9 26 1 0.0
9 26 2 0.0
9 26 3 0.0
9 26 4 0.0
9 26 5 0.0
9 26 6 0.1048
9 26 7 0.3029
9 26 8 0.4962
9 26 9 0.6769
9 26 10 0.7972
9 26 11 0.8973
9 26 12 0.9577
9 26 13 0.9804
9 26 14 0.8502
9 26 15 0.7735
9 26 16 0.7158
9 26 17 0.4908
9 26 18 0.2812
9 26 19 0.0908
9 26 20 0.0
9 26 21 0.0
9 26 22 0.0
9 26 23 0.0
9 26 24 0.0
9 27 1 0.0
9 27 2 0.0
9 27 3 0.0
9 27 4 0.0
9 27 5 0.0
9 27 6 0.0932
9 27 7 0.3292
9 27 8 0.4622
9 27 9 0.7142
9 27 10 0.7681
9 27 11 1.0355
9 27 12 0.9793
9 27 13 0.8953
9 27 14 0.9827
9 27 15 0.8821
9 27 16 0.7338
9 27 17 0.5413
9 27 18 0.317
9 27 19 0.0905
9 27 20 0.0
9 27 21 0.0
9 27 22 0.0
9 27 23 0.0
9 27 24 0.0
9 28 1 0.0
9 28 2 0.0
9 28 3 0.0
9 28 4 0.0
9 28 5 0.0
9 28 6 0.1024
9 28 7 0.3006
9 28 8 0.4745
9 28 9 0.7632
9 28 10 0.8393
9 28 11 1.0348
9 28 12 1.0992
9 28 13 0.9303
9 28 14 0.8462
9 28 15 0.8674
9 28 16 0.634
9 28 17 0.5089
9 28 18 0.3268
9 28 19 0.1084
9 28 20 0.0
9 28 21 0.0
9 28 22 0.0
9 28 23 0.0
9 28 24 0.0
9 29 1 0.0
9 29 2 0.0
9 29 3 0.0
9 29 4 0.0
9 29 5 0.0
9 29 6 0.1045
9 29 7 0.3295
9 29 8 0.5418
9 29 9 0.7511
9 29 10 0.8869
9 29 11 0.9043
9 29 12 0.994
9 29 13 0.9044
9 29 14 0.9051
9 29 15 0.8055
9 29 16 0.7613
9 29 17 0.4806
9 29 18 0.2762
9 29 19 0.0961
9 29 20 0.0
9 29 21 0.0
9 29 22 0.0
9 29 23 0.0
9 29 24 0.0
9 30 1 0.0
9 30 2 0.0
9 30 3 0.0
9 30 4 0.0
9 30 5 0.0
9 30 6 0.0936
9 30 7 0.3251
9 30 8 0.4589
9 30 9 0.6452
9 30 10 0.8585
9 30 11 0.9232
9 30 12 0.9395
9 30 13 0.9604
9 30 14 0.8365
9 30 15 0.8297
9 30 16 0.6705
9 30 17 0.4933
9 30 18 0.3199
9 30 19 0.1097
9 30 20 0.0
9 30 21 0.0
9 30 22 0.0
9 30 23 0.0
9 30 24 0.0
9 31 1 0.0
9 31 2 0.0
9 31 3 0.0
9 31 4 0.0
9 31 5 0.0
9 31 6 0.096
9 31 7 0.3241
9 31 8 0.5231
9 31 9 0.7584
9 31 10 0.8932
9 31 11 0.9787
9 31 12 0.9118
9 31 13 0.9746
9 31 14 0.883
9 31 15 0.7707
9 31 16 0.6381
9 31 17 0.4639
9 31 18 0.3291
9 31 19 0.0946
9 31 20 0.0
9 31 21 0.0
9 31 22 0.0
9 31 23 0.0
9 31 24 0.0
9 32 1 0.0
9 32 2 0.0
9 32 3 0.0
9 32 4 0.0
9 32 5 0.0
9 32 6 0.1006
9 32 7 0.311
9 32 8 0.4599
9 32 9 0.7092
9 32 10 0.9186
9 32 11 0.9134
9 32 12 0.9221
9 32 13 1.0471
9 32 14 0.8317
9 32 15 0.8065
9 32 16 0.6502
9 32 17 0.5322
9 32 18 0.3122
9 32 19 0.0917
9 32 20 0.0
9 32 21 0.0
9 32 22 0.0
9 32 23 0.0
9 32 24 0.0
9 33 1 0.0
9 33 2 0.0
9 33 3 0.0
9 33 4 0.0
9 33 5 0.0
9 33 6 0.1062
9 33 7 0.2824
9 33 8 0.4803
9 33 9 0.6349
9 33 10 0.8467
9 33 11 0.9003
9 33 12 0.9229
9 33 13 0.9152
9 33 14 0.9062
9 33 15 0.7658
9 33 16 0.6978
9 33 17 0.513
9 33 18 0.322
9 33 19 0.0953
9 33 20 0.0
9 33 21 0.0
9 33 22 0.0
9 33 23 0.0
9 33 24 0.0
10 2 1 0.0
10 2 2 0.0
10 2 3 0.0
10 2 4 0.0
10 2 5 0.0
10 2 6 0.1045
10 2 7 0.2769
10 2 8 0.4972
10 2 9 0.6619
10 2 10 0.8313
10 2 11 0.9731
10 2 12 0.9515
10 2 13 0.9496
10 2 14 0.8734
10 2 15 0.8757
10 2 16 0.7673
10 2 17 0.506
10 2 18 0.3175
10 2 19 0.0916
10 2 20 0.0
10 2 21 0.0
10 2 22 0.0
10 2 23 0.0
10 2 24 0.0
10 3 1 0.0
10 3 2 0.0
10 3 3 0.0
10 3 4 0.0
10 3 5 0.0
10 3 6 0.0999
10 3 7 0.3271
10 3 8 0.4555
10 3 9 0.6471
10 3 10 0.8502
10 3 11 0.8706
10 3 12 1.088
10 3 13 0.9859
10 3 14 0.8521
10 3 15 0.8455
10 3 16 0.7435
10 3 17 0.5198
10 3 18 0.2864
10 3 19 0.1073
10 3 20 0.0
10 3 21 0.0
10 3 22 0.0
10 3 23 0.0
10 3 24 0.0
10 4 1 0.0
10 4 2 0.0
10 4 3 0.0
10 4 4 0.0
10 4 5 0.0
10 4 6 0.1
10 4 7 0.296
10 4 8 0.4747
10 4 9 0.7018
10 4 10 0.8394
10 4 11 0.9133
10 4 12 0.9782
10 4 13 0.9431
10 4 14 1.0041
10 4 15 0.8069
10 4 16 0.649
10 4 17 0.4675
10 4 18 0.313
10 4 19 0.0942
10 4 20 0.0
10 4 21 0.0
10 4 22 0.0
10 4 23 0.0
10 4 24 0.0
10 5 1 0.0
10 5 2 0.0
10 5 3 0.0
10 5 4 0.0
10 5 5 0.0
10 5 6 0.1055
10 5 7 0.3089
10 5 8 0.4577
10 5 9 0.7163
10 5 10 0.8529
10 5 11 0.9825
10 5 12 1.0221
10 5 13 0.9137
10 5 14 0.9358
10 5 15 0.8113
10 5 16 0.6449
10 5 17 0.4895
10 5 18 0.296
10 5 19 0.0907
10 5 20 0.0
10 5 21 0.0
10 5 22 0.0
10 5 23 0.0
10 5 24 0.0
10 6 1 0.0
10 6 2 0.0
10 6 3 0.0
10 6 4 0.0
10 6 5 0.0
10 6 6 0.1057
10 6 7 0.2959
10 6 8 0.4634
10 6 9 0.7198
10 6 10 0.8542
10 6 11 0.8699
10 6 12 1.0255
10 6 13 0.9556
10 6 14 0.8444
10 6 15 0.8258
10 6 16 0.7677
10 6 17 0.5332
10 6 18 0.2917
10 6 19 0.1001
10 6 20 0.0
10 6 21 0.0
10 6 22 0.0
10 6 23 0.0
10 6 24 0.0
10 7 1 0.0
10 7 2 0.0
10 7 3 0.0
10 7 4 0.0
10 7 5 0.0
10 7 6 0.103
10 7 7 0.2704
10 7 8 0.5109
10 7 9 0.6436
10 7 10 0.7928
10 7 11 1.0255
10 7 12 0.9139
10 7 13 0.8892
10 7 14 0.8442
10 7 15 0.7876
10 7 16 0.7501
10 7 17 0.4556
10 7 18 0.3183
10 7 19 0.1086
10 7 20 0.0
10 7 21 0.0
10 7 22 0.0
10 7 23 0.0
10 7 24 0.0
10 8 1 0.0
10 8 2 0.0
10 8 3 0.0
10 8 4 0.0
10 8 5 0.0
10 8 6 0.0908
10 8 7 0.3052
10 8 8 0.4635
10 8 9 0.6902
10 8 10 0.8733
10 8 11 0.953
10 8 12 1.0365
10 8 13 0.9546
10 8 14 0.9732
10 8 15 0.7917
10 8 16 0.6409
10 8 17 0.4952
10 8 18 0.3232
10 8 19 0.1014
10 8 20 0.0
10 8 21 0.0
10 8 22 0.0
10 8 23 0.0
10 8 24 0.0
10 9 1 0.0
10 9 2 0.0
10 9 3 0.0
10 9 4 0.0
10 9 5 0.0
10 9 6 0.1039
10 9 7 0.3284
10 9 8 0.4721
10 9 9 0.6986
10 9 10 0.8238
10 9 11 0.9465
10 9 12 0.9834
10 9 13 1.053
10 9 14 0.8318
10 9 15 0.8442
10 9 16 0.6848
10 9 17 0.452
10 9 18 0.2902
10 9 19 0.1067
10 9 20 0.0
10 9 21 0.0
10 9 22 0.0
10 9 23 0.0
10 9 24 0.0
10 10 1 0.0
10 10 2 0.0
10 10 3 0.0
10 10 4 0.0
10 10 5 0.0
10 10 6 0.1066
10 10 7 0.2839
10 10 8 0.4872
10 10 9 0.6882
10 10 10 0.7903
10 10 11 0.9016
10 10 12 1.0107
10 10 13 0.9001
10 10 14 0.8618
10 10 15 0.9124
10 10 16 0.6984
10 10 17 0.4704
10 10 18 0.2719
10 10 19 0.0902
10 10 20 0.0
10 10 21 0.0
10 10 22 0.0
10 10 23 0.0
10 10 24 0.0
10 11 1 0.0
10 11 2 0.0
10 11 3 0.0
10 11 4 0.0
10 11 5 0.0
10 11 6 0.0914
10 11 7 0.2792
10 11 8 0.5231
10 11 9 0.6956
10 11 10 0.8894
10 11 11 0.8897
10 11 12 1.0646
10 11 13 0.9773
10 11 14 0.8794
10 11 15 0.7731
10 11 16 0.7568
10 11 17 0.5129
10 11 18 0.2899
10 11 19 0.1087
10 11 20 0.0
10 11 21 0.0
10 11 22 0.0
10 11 23 0.0
10 11 24 0.0
10 12 1 0.0
10 12 2 0.0
10 12 3 0.0
10 12 4 0.0
10 12 5 0.0
10 12 6 0.1038
10 12 7 0.3114
10 12 8 0.5214
10 12 9 0.7285
10 12 10 0.9281
10 12 11 0.8796
10 12 12 0.9729
10 12 13 1.0055
10 12 14 0.9828
10 12 15 0.8478
10 12 16 0.6432
10 12 17 0.4887
10 12 18 0.3006
10 12 19 0.1003
10 12 20 0.0
10 12 21 0.0
10 12 22 0.0
10 12 23 0.0
10 12 24 0.0
10 13 1 0.0
10 13 2 0.0
10 13 3 0.0
10 13 4 0.0
10 13 5 0.0
10 13 6 0.1032
10 13 7 0.3223
10 13 8 0.5049
10 13 9 0.7502
10 13 10 0.7927
10 13 11 0.8988
10 13 12 1.0256
10 13 13 1.0742
10 13 14 0.8976
10 13 15 0.9192
10 13 16 0.7123
10 13 17 0.4643
10 13 18 0.2989
10 13 19 0.1062
10 13 20 0.0
10 13 21 0.0
10 13 22 0.0
10 13 23 0.0
10 13 24 0.0
10 14 1 0.0
10 14 2 0.0
10 14 3 0.0
10 14 4 0.0
10 14 5 0.0
10 14 6 0.1093
10 14 7 0.3241
10 14 8 0.4669
10 14 9 0.7008
10 14 10 0.8049
10 14 11 0.9296
10 14 12 1.057
10 14 13 0.9998
10 14 14 0.8564
10 14 15 0.9022
10 14 16 0.7532
10 14 17 0.4671
10 14 18 0.327
10 14 19 0.095
10 14 20 0.0
10 14 21 0.0
10 14 22 0.0
10 14 23 0.0
10 14 24 0.0
10 15 1 0.0
10 15 2 0.0
10 15 3 0.0
10 15 4 0.0
10 15 5 0.0
10 15 6 0.1033
10 15 7 0.287
10 15 8 0.5204
10 15 9 0.6843
10 15 10 0.8518
10 15 11 0.907
10 15 12 1.0488
10 15 13 0.9131
10 15 14 0.8399
10 15 15 0.8169
10 15 16 0.6481
10 15 17 0.4624
10 15 18 0.2888
10 15 19 0.104
10 15 20 0.0
10 15 21 0.0
10 15 22 0.0
10 15 23 0.0
10 15 24 0.0
10 16 1 0.0
10 16 2 0.0
10 16 3 0.0
10 16 4 0.0
10 16 5 0.0
10 16 6 0.0952
10 16 7 0.3147
10 16 8 0.4858
10 16 9 0.6406
10 16 10 0.8061
10 16 11 0.9358
10 16 12 0.9393
10 16 13 0.9056
10 16 14 0.9953
10 16 15 0.9037
10 16 16 0.6434
10 16 17 0.5335
10 16 18 0.3011
10 16 19 0.0952
10 16 20 0.0
10 16 21 0.0
10 16 22 0.0
10 16 23 0.0
10 16 24 0.0
10 17 1 0.0
10 17 2 0.0
10 17 3 0.0
10 17 4 0.0
10 17 5 0.0
10 17 6 0.1019
10 17 7 0.3278
10 17 8 0.4953
10 17 9 0.6716
10 17 10 0.785
10 17 11 1.0348
10 17 12 1.084
10 17 13 0.9868
10 17 14 0.9047
10 17 15 0.9235
10 17 16 0.6649
10 17 17 0.5255
10 17 18 0.2986
10 17 19 0.109
10 17 20 0.0
10 17 21 0.0
10 17 22 0.0
10 17 23 0.0
10 17 24 0.0
10 18 1 0.0
10 18 2 0.0
10 18 3 0.0
10 18 4 0.0
10 18 5 0.0
10 18 6 0.0957
10 18 7 0.3267
10 18 8 0.5139
10 18 9 0.6377
10 18 10 0.7863
10 18 11 0.8591
10 18 12 1.0227
10 18 13 0.9806
10 18 14 0.959
10 18 15 0.8388
10 18 16 0.6377
10 18 17 0.4691
10 18 18 0.3276
10 18 19 0.0967
10 18 20 0.0
10 18 21 0.0
10 18 22 0.0
10 18 23 0.0
10 18 24 0.0
10 19 1 0.0
10 19 2 0.0
10 19 3 0.0
10 19 4 0.0
10 19 5 0.0
10 19 6 0.0949
10 19 7 0.2802
10 19 8 0.54
10 19 9 0.6504
10 19 10 0.8815
10 19 11 0.9726
10 19 12 1.0672
10 19 13 0.8942
10 19 14 0.8807
10 19 15 0.8716
10 19 16 0.7139
10 19 17 0.462
10 19 18 0.2879
10 19 19 0.1074
10 19 20 0.0
10 19 21 0.0
10 19 22 0.0
10 19 23 0.0
10 19 24 0.0
10 20 1 0.0
10 20 2 0.0
10 20 3 0.0
10 20 4 0.0
10 20 5 0.0
10 20 6 0.0966
10 20 7 0.2874
10 20 8 0.5258
10 20 9 0.7387
10 20 10 0.859
10 20 11 0.8914
10 20 12 0.9417
10 20 13 0.9898
10 20 14 0.9386
10 20 15 0.8717
10 20 16 0.7585
10 20 17 0.4952
10 20 18 0.2723
10 20 19 0.0931
10 20 20 0.0
10 20 21 0.0
10 20 22 0.0
10 20 23 0.0
10 20 24 0.0
10 21 1 0.0
10 21 2 0.0
10 21 3 0.0
10 21 4 0.0
10 21 5 0.0
10 21 6 0.0901
10 21 7 0.278
10 21 8 0.5356
10 21 9 0.712
10 21 10 0.9236
10 21 11 0.868
10 21 12 1.0459
10 21 13 0.9546
10 21 14 0.9112
10 21 15 0.8731
10 21 16 0.7054
10 21 17 0.5066
10 21 18 0.3094
10 21 19 0.1016
10 21 20 0.0
10 21 21 0.0
10 21 22 0.0
10 21 23 0.0
10 21 24 0.0
10 22 1 0.0
10 22 2 0.0
10 22 3 0.0
10 22 4 0.0
10 22 5 0.0
10 22 6 0.0942
10 22 7 0.29
10 22 8 0.5017
10 22 9 0.6852
10 22 10 0.8324
10 22 11 0.94
10 22 12 0.9107
10 22 13 0.9696
10 22 14 1.0026
10 22 15 0.9254
10 22 16 0.7585
10 22 17 0.5245
10 22 18 0.2933
10 22 19 0.1084
10 22 20 0.0
10 22 21 0.0
10 22 22 0.0
10 22 23 0.0
10 22 24 0.0
10 23 1 0.0
10 23 2 0.0
10 23 3 0.0
10 23 4 0.0
10 23 5 0.0
10 23 6 0.1045
10 23 7 0.2978
10 23 8 0.4836
10 23 9 0.6938
10 23 10 0.9294
10 23 11 0.9866
10 23 12 0.929
10 23 13 0.8924
10 23 14 0.9281
10 23 15 0.7652
10 23 16 0.7126
10 23 17 0.494
10 23 18 0.3026
10 23 19 0.0965
10 23 20 0.0
10 23 21 0.0
10 23 22 0.0
10 23 23 0.0
10 23 24 0.0
10 24 1 0.0
10 24 2 0.0
10 24 3 0.0
10 24 4 0.0
10 24 5 0.0
10 24 6 0.104
10 24 7 0.2776
10 24 8 0.4921
10 24 9 0.7522
10 24 10 0.9065
10 24 11 0.9436
10 24 12 1.0483
10 24 13 0.9893
10 24 14 0.9871
10 24 15 0.7997
10 24 16 0.7287
10 24 17 0.4603
10 24 18 0.277
10 24 19 0.1037
10 24 20 0.0
10 24 21 0.0
10 24 22 0.0
10 24 23 0.0
10 24 24 0.0
10 25 1 0.0
10 25 2 0.0
10 25 3 0.0
10 25 4 0.0
10 25 5 0.0
10 25 6 0.1069
10 25 7 0.3034
10 25 8 0.5346
10 25 9 0.7057
10 25 10 0.8996
10 25 11 0.8735
10 25 12 1.0615
10 25 13 0.9229
10 25 14 0.9724
10 25 15 0.8064
10 25 16 0.7685
10 25 17 0.4913
10 25 18 0.2852
10 25 19 0.1001
10 25 20 0.0
10 25 21 0.0
10 25 22 0.0
10 25 23 0.0
10 25 24 0.0
10 26 1 0.0
10 26 2 0.0
10 26 3 0.0
10 26 4 0.0
10 26 5 0.0
10 26 6 0.1037
10 26 7 0.2854
10 26 8 0.4909
10 26 9 0.6523
10 26 10 0.7896
10 26 11 0.9875
10 26 12 0.9941
10 26 13 1.0332
10 26 14 0.8888
10 26 15 0.8484
10 26 16 0.7566
10 26 17 0.5237
10 26 18 0.2716
10 26 19 0.1007
10 26 20 0.0
10 26 21 0.0
10 26 22 0.0
10 26 23 0.0
10 26 24 0.0
10 27 1 0.0
10 27 2 0.0
10 27 3 0.0
10 27 4 0.0
10 27 5 0.0
10 27 6 0.0985
10 27 7 0.3031
10 27 8 0.5199
10 27 9 0.7288
10 27 10 0.8148
10 27 11 0.9012
10 27 12 0.9991
10 27 13 1.0365
10 27 14 0.9047
10 27 15 0.8519
10 27 16 0.6962
10 27 17 0.471
10 27 18 0.3032
10 27 19 0.0951
10 27 20 0.0
10 27 21 0.0
10 27 22 0.0
10 27 23 0.0
10 27 24 0.0
10 28 1 0.0
10 28 2 0.0
10 28 3 0.0
10 28 4 0.0
10 28 5 0.0
10 28 6 0.097
10 28 7 0.2838
10 28 8 0.5323
10 28 9 0.643
10 28 10 0.8235
10 28 11 0.9541
10 28 12 0.9733
10 28 13 0.9223
10 28 14 0.9845
10 28 15 0.9292
10 28 16 0.6758
10 28 17 0.4758
10 28 18 0.3191
10 28 19 0.0959
10 28 20 0.0
10 28 21 0.0
10 28 22 0.0
10 28 23 0.0
10 28 24 0.0
10 29 1 0.0
10 29 2 0.0
10 29 3 0.0
10 29 4 0.0
10 29 5 0.0
10 29 6 0.0977
10 29 7 0.3289
10 29 8 0.5411
10 29 9 0.6967
10 29 10 0.873
10 29 11 0.9826
10 29 12 0.9785
10 29 13 0.9941
10 29 14 0.904
10 29 15 0.7783
10 29 16 0.7266
10 29 17 0.5345
10 29 18 0.2832
10 29 19 0.1068
10 29 20 0.0
10 29 21 0.0
10 29 22 0.0
10 29 23 0.0
10 29 24 0.0
10 30 1 0.0
10 30 2 0.0
10 30 3 0.0
10 30 4 0.0
10 30 5 0.0
10 30 6 0.097
10 30 7 0.305
10 30 8 0.4876
10 30 9 0.6923
10 30 10 0.8665
10 30 11 1.0415
10 30 12 1.0802
10 30 13 0.9676
10 30 14 0.8759
10 30 15 0.8309
10 30 16 0.7643
10 30 17 0.4904
10 30 18 0.3209
10 30 19 0.0962
10 30 20 0.0
10 30 21 0.0
10 30 22 0.0
10 30 23 0.0
10 30 24 0.0
10 31 1 0.0
10 31 2 0.0
10 31 3 0.0
10 31 4 0.0
10 31 5 0.0
10 31 6 0.109
10 31 7 0.3216
10 31 8 0.5127
10 31 9 0.7544
10 31 10 0.7886
10 31 11 0.9603
10 31 12 0.9995
10 31 13 1.075
10 31 14 1.0097
10 31 15 0.8438
10 31 16 0.7472
10 31 17 0.454
10 31 18 0.3264
10 31 19 0.0954
10 31 20 0.0
10 31 21 0.0
10 31 22 0.0
10 31 23 0.0
10 31 24 0.0
10 32 1 0.0
10 32 2 0.0
10 32 3 0.0
10 32 4 0.0
10 32 5 0.0
10 32 6 0.0968
10 32 7 0.322
10 32 8 0.4563
10 32 9 0.6506
10 32 10 0.8739
10 32 11 0.9719
10 32 12 0.9929
10 32 13 0.8916
10 32 14 0.9572
10 32 15 0.8549
10 32 16 0.765
10 32 17 0.4742
10 32 18 0.2826
10 32 19 0.0959
10 32 20 0.0
10 32 21 0.0
10 32 22 0.0
10 32 23 0.0
10 32 24 0.0
10 33 1 0.0
10 33 2 0.0
10 33 3 0.0
10 33 4 0.0
10 33 5 0.0
10 33 6 0.0924
10 33 7 0.3158
10 33 8 0.4641
10 33 9 0.734
10 33 10 0.8728
10 33 11 0.9222
10 33 12 1.0406
10 33 13 1.0098
10 33 14 0.8635
10 33 15 0.8305
10 33 16 0.6654
10 33 17 0.4529
10 33 18 0.3294
10 33 19 0.1034
10 33 20 0.0
10 33 21 0.0
10 33 22 0.0
10 33 23 0.0
10 33 24 0.0
11 2 1 0.0
11 2 2 0.0
11 2 3 0.0
11 2 4 0.0
11 2 5 0.0
11 2 6 0.0947
11 2 7 0.2982
11 2 8 0.5487
11 2 9 0.7248
11 2 10 0.849
11 2 11 0.8925
11 2 12 1.0018
11 2 13 1.0495
11 2 14 0.9499
11 2 15 0.8633
11 2 16 0.7566
11 2 17 0.5129
11 2 18 0.3192
11 2 19 0.0906
11 2 20 0.0
11 2 21 0.0
11 2 22 0.0
11 2 23 0.0
11 2 24 0.0
11 3 1 0.0
11 3 2 0.0
11 3 3 0.0
11 3 4 0.0
11 3 5 0.0
11 3 6 0.1051
11 3 7 0.3085
11 3 8 0.4898
11 3 9 0.6645
11 3 10 0.8642
11 3 11 0.9491
11 3 12 1.0793
11 3 13 1.0467
11 3 14 0.9295
11 3 15 0.77
11 3 16 0.6639
11 3 17 0.4808
11 3 18 0.324
11 3 19 0.1092
11 3 20 0.0
11 3 21 0.0
11 3 22 0.0
11 3 23 0.0
11 3 24 0.0
11 4 1 0.0
11 4 2 0.0
11 4 3 0.0
11 4 4 0.0
11 4 5 0.0
11 4 6 0.0952
11 4 7 0.2967
11 4 8 0.4616
11 4 9 0.6568
11 4 10 0.8012
11 4 11 0.9445
11 4 12 0.9857
11 4 13 0.9738
11 4 14 0.8657
11 4 15 0.863
11 4 16 0.7575
11 4 17 0.474
11 4 18 0.3215
11 4 19 0.093
11 4 20 0.0
11 4 21 0.0
11 4 22 0.0
11 4 23 0.0
11 4 24 0.0
11 5 1 0.0
11 5 2 0.0
11 5 3 0.0
11 5 4 0.0
11 5 5 0.0
11 5 6 0.0967
11 5 7 0.3216
11 5 8 0.4947
11 5 9 0.7129
11 5 10 0.9339
11 5 11 1.0253
11 5 12 1.0371
11 5 13 1.0457
11 5 14 0.9496
11 5 15 0.874
11 5 16 0.7032
11 5 17 0.5367
11 5 18 0.2732
11 5 19 0.1036
11 5 20 0.0
11 5 21 0.0
11 5 22 0.0
11 5 23 0.0
11 5 24 0.0
11 6 1 0.0
11 6 2 0.0
11 6 3 0.0
11 6 4 0.0
11 6 5 0.0
11 6 6 0.105
11 6 7 0.2898
11 6 8 0.5164
11 6 9 0.6898
11 6 10 0.8713
11 6 11 0.9415
11 6 12 0.9567
11 6 13 0.9792
11 6 14 0.9905
11 6 15 0.9119
11 6 16 0.6919
11 6 17 0.5167
11 6 18 0.2911
11 6 19 0.1007
11 6 20 0.0
11 6 21 0.0
11 6 22 0.0
11 6 23 0.0
11 6 24 0.0
11 7 1 0.0
11 7 2 0.0
11 7 3 0.0
11 7 4 0.0
11 7 5 0.0
11 7 6 0.1011
11 7 7 0.2978
11 7 8 0.5224
11 7 9 0.6841
11 7 10 0.8812
11 7 11 0.8613
11 7 12 0.9006
11 7 13 1.021
11 7 14 0.9806
11 7 15 0.869
11 7 16 0.6824
11 7 17 0.4574
11 7 18 0.3242
11 7 19 0.1026
11 7 20 0.0
11 7 21 0.0
11 7 22 0.0
11 7 23 0.0
11 7 24 0.0
11 8 1 0.0
11 8 2 0.0
11 8 3 0.0
11 8 4 0.0
11 8 5 0.0
11 8 6 0.1068
11 8 7 0.3191
11 8 8 0.5286
11 8 9 0.6863
11 8 10 0.7862
11 8 11 1.0246
11 8 12 0.9756
11 8 13 0.9791
11 8 14 0.9337
11 8 15 0.9255
11 8 16 0.7454
11 8 17 0.4979
11 8 18 0.3047
11 8 19 0.1021
11 8 20 0.0
11 8 21 0.0
11 8 22 0.0
11 8 23 0.0
11 8 24 0.0
11 9 1 0.0
11 9 2 0.0
11 9 3 0.0
11 9 4 0.0
11 9 5 0.0
11 9 6 0.1038
11 9 7 0.2793
11 9 8 0.5396
11 9 9 0.7649
11 9 10 0.8484
11 9 11 0.8987
11 9 12 0.9192
11 9 13 0.8988
11 9 14 0.9271
11 9 15 0.8623
11 9 16 0.6928
11 9 17 0.5201
11 9 18 0.3108
11 9 19 0.0977
11 9 20 0.0
11 9 21 0.0
11 9 22 0.0
11 9 23 0.0
11 9 24 0.0
11 10 1 0.0
11 10 2 0.0
11 10 3 0.0
11 10 4 0.0
11 10 5 0.0
11 10 6 0.1
11 10 7 0.3138
11 10 8 0.4919
11 10 9 0.7428
11 10 10 0.8411
11 10 11 1.0396
11 10 12 1.0422
11 10 13 0.9045
11 10 14 0.9627
11 10 15 0.7916
11 10 16 0.6745
11 10 17 0.5443
11 10 18 0.2995
11 10 19 0.103
11 10 20 0.0
11 10 21 0.0
11 10 22 0.0
11 10 23 0.0
11 10 24 0.0
11 11 1 0.0
11 11 2 0.0
11 11 3 0.0
11 11 4 0.0
11 11 5 0.0
11 11 6 0.0977
11 11 7 0.3204
11 11 8 0.522
11 11 9 0.7557
11 11 10 0.8534
11 11 11 0.9318
11 11 12 0.9505
11 11 13 0.9268
11 11 14 0.9389
11 11 15 0.8635
11 11 16 0.7497
11 11 17 0.4609
11 11 18 0.2773
11 11 19 0.0966
11 11 20 0.0
11 11 21 0.0
11 11 22 0.0
11 11 23 0.0
11 11 24 0.0
11 12 1 0.0
11 12 2 0.0
11 12 3 0.0
11 12 4 0.0
11 12 5 0.0
11 12 6 0.0922
11 12 7 0.2989
11 12 8 0.4896
11 12 9 0.6482
11 12 10 0.93
11 12 11 0.9905
