
param Demanda :=
7 9 22 0.7243
7 9 23 0.6783
7 9 24 0.5728
7 10 1 0.4843
7 10 2 0.3859
7 10 3 0.3779
7 10 4 0.4011
7 10 5 0.3568
7 10 6 0.5172
7 10 7 0.6508
7 10 8 0.6462
7 10 9 0.5404
7 10 10 0.5379
7 10 11 0.6797
7 10 12 0.5929
7 10 13 0.5832
7 10 14 0.5583
7 10 15 0.5763
7 10 16 0.6513
7 10 17 0.4435
7 10 18 0.5832
7 10 19 0.6621
7 10 20 0.8222
7 10 21 0.9728
7 10 22 0.7539
7 10 23 0.6384
7 10 24 0.5475
7 11 1 0.4123
7 11 2 0.3876
7 11 3 0.3606
7 11 4 0.409
7 11 5 0.3963
7 11 6 0.5437
7 11 7 0.7114
7 11 8 0.6543
7 11 9 0.5997
7 11 10 0.6466
7 11 11 0.6392
7 11 12 0.5262
7 11 13 0.5532
7 11 14 0.5688
7 11 15 0.5966
7 11 16 0.5665
7 11 17 0.4895
7 11 18 0.5314
7 11 19 0.6611
7 11 20 0.8639
7 11 21 0.9995
7 11 22 0.743
7 11 23 0.6348
7 11 24 0.5626
7 12 1 0.4832
7 12 2 0.4008
7 12 3 0.3447
7 12 4 0.4168
7 12 5 0.3549
7 12 6 0.4926
7 12 7 0.6541
7 12 8 0.6567
7 12 9 0.6417
7 12 10 0.5462
7 12 11 0.6045
7 12 12 0.5391
7 12 13 0.6435
7 12 14 0.5736
7 12 15 0.5503
7 12 16 0.6581
7 12 17 0.4819
7 12 18 0.5602
7 12 19 0.7022
7 12 20 0.7917
7 12 21 0.9639
7 12 22 0.7426
7 12 23 0.6408
7 12 24 0.6099
7 13 1 0.3125
7 13 2 0.3578
7 13 3 0.3918
7 13 4 0.3675
7 13 5 0.36
7 13 6 0.3385
7 13 7 0.3442
7 13 8 0.5497
7 13 9 0.608
7 13 10 0.4824
7 13 11 0.5671
7 13 12 0.9094
7 13 13 1.0134
7 13 14 0.7561
7 13 15 0.6634
7 13 16 0.6359
7 13 17 0.5782
7 13 18 0.4747
7 13 19 0.6593
7 13 20 0.736
7 13 21 0.8692
7 13 22 0.7673
7 13 23 0.6237
7 13 24 0.5845
7 14 1 0.3084
7 14 2 0.4138
7 14 3 0.3495
7 14 4 0.346
7 14 5 0.3672
7 14 6 0.3957
7 14 7 0.3707
7 14 8 0.564
7 14 9 0.5647
7 14 10 0.4871
7 14 11 0.5645
7 14 12 1.0954
7 14 13 1.0396
7 14 14 0.7888
7 14 15 0.6005
7 14 16 0.6653
7 14 17 0.5855
7 14 18 0.4981
7 14 19 0.5746
7 14 20 0.7823
7 14 21 0.8082
7 14 22 0.734
7 14 23 0.6601
7 14 24 0.5872
7 15 1 0.2626
7 15 2 0.2923
7 15 3 0.2613
7 15 4 0.2818
7 15 5 0.3326
7 15 6 0.3313
7 15 7 0.3604
7 15 8 0.372
7 15 9 0.3939
7 15 10 0.4818
7 15 11 0.5169
7 15 12 0.5528
7 15 13 0.5143
7 15 14 0.4742
7 15 15 0.4492
7 15 16 0.4124
7 15 17 0.5321
7 15 18 0.5816
7 15 19 1.0091
7 15 20 0.919
7 15 21 0.8444
7 15 22 0.7268
7 15 23 0.684
7 15 24 0.4716
7 16 1 0.2712
7 16 2 0.2288
7 16 3 0.2714
7 16 4 0.2552
7 16 5 0.2417
7 16 6 0.4518
7 16 7 0.7311
7 16 8 0.4269
7 16 9 0.4301
7 16 10 0.3638
7 16 11 0.3459
7 16 12 0.5297
7 16 13 0.4093
7 16 14 0.4134
7 16 15 0.3902
7 16 16 0.401
7 16 17 0.4639
7 16 18 0.3529
7 16 19 0.5992
7 16 20 0.7578
7 16 21 1.068
7 16 22 0.8554
7 16 23 0.6384
7 16 24 0.3298
7 17 1 0.2615
7 17 2 0.2684
7 17 3 0.2466
7 17 4 0.2357
7 17 5 0.2508
7 17 6 0.4442
7 17 7 0.7372
7 17 8 0.4025
7 17 9 0.4151
7 17 10 0.3899
7 17 11 0.3792
7 17 12 0.5098
7 17 13 0.4385
7 17 14 0.3804
7 17 15 0.3931
7 17 16 0.4346
7 17 17 0.523
7 17 18 0.3698
7 17 19 0.6158
7 17 20 0.7776
7 17 21 0.9176
7 17 22 0.8889
7 17 23 0.6753
7 17 24 0.3892
7 18 1 0.2961
7 18 2 0.2475
7 18 3 0.2687
7 18 4 0.2255
7 18 5 0.2222
7 18 6 0.4678
7 18 7 0.6693
7 18 8 0.3988
7 18 9 0.4269
7 18 10 0.3444
7 18 11 0.411
7 18 12 0.5358
7 18 13 0.3704
7 18 14 0.4097
7 18 15 0.4054
7 18 16 0.3737
7 18 17 0.4606
7 18 18 0.3734
7 18 19 0.6268
7 18 20 0.758
7 18 21 0.9839
7 18 22 0.7876
7 18 23 0.7578
7 18 24 0.3308
7 19 1 0.2954
7 19 2 0.3204
7 19 3 0.249
7 19 4 0.2652
7 19 5 0.3167
7 19 6 0.361
7 19 7 0.3901
7 19 8 0.3905
7 19 9 0.4036
7 19 10 0.4727
7 19 11 0.5326
7 19 12 0.603
7 19 13 0.5351
7 19 14 0.5265
7 19 15 0.459
7 19 16 0.4226
7 19 17 0.5564
7 19 18 0.5771
7 19 19 0.9695
7 19 20 0.9675
7 19 21 0.9862
7 19 22 0.8206
7 19 23 0.5793
7 19 24 0.4854
7 20 1 0.3462
7 20 2 0.3588
7 20 3 0.4005
7 20 4 0.363
7 20 5 0.3222
7 20 6 0.3882
7 20 7 0.3376
7 20 8 0.6175
7 20 9 0.6673
7 20 10 0.4903
7 20 11 0.5763
7 20 12 0.9135
7 20 13 1.0314
7 20 14 0.6828
7 20 15 0.6806
7 20 16 0.6405
7 20 17 0.5147
7 20 18 0.4867
7 20 19 0.5592
7 20 20 0.7196
7 20 21 0.8601
7 20 22 0.6786
7 20 23 0.629
7 20 24 0.558
7 21 1 0.3064
7 21 2 0.2325
7 21 3 0.2665
7 21 4 0.2537
7 21 5 0.2488
7 21 6 0.4067
7 21 7 0.6361
7 21 8 0.4809
7 21 9 0.4838
7 21 10 0.3547
7 21 11 0.3826
7 21 12 0.4701
7 21 13 0.4351
7 21 14 0.3871
7 21 15 0.3726
7 21 16 0.4355
7 21 17 0.4731
7 21 18 0.345
7 21 19 0.6248
7 21 20 0.8441
7 21 21 1.0526
7 21 22 0.829
7 21 23 0.6689
7 21 24 0.3319
7 22 1 0.2732
7 22 2 0.2934
7 22 3 0.2514
7 22 4 0.2815
7 22 5 0.3199
7 22 6 0.3599
7 22 7 0.3558
7 22 8 0.3613
7 22 9 0.4486
7 22 10 0.4984
7 22 11 0.5678
7 22 12 0.5059
7 22 13 0.5384
7 22 14 0.4684
7 22 15 0.4516
7 22 16 0.4316
7 22 17 0.5286
7 22 18 0.55
7 22 19 0.9867
7 22 20 0.9272
7 22 21 0.8255
7 22 22 0.7174
7 22 23 0.677
7 22 24 0.4867
7 23 1 0.3511
7 23 2 0.3655
7 23 3 0.3433
7 23 4 0.3253
7 23 5 0.3256
7 23 6 0.3271
7 23 7 0.3508
7 23 8 0.5138
7 23 9 0.6022
7 23 10 0.5614
7 23 11 0.5457
7 23 12 0.9229
7 23 13 0.8971
7 23 14 0.6791
7 23 15 0.7239
7 23 16 0.6937
7 23 17 0.5187
7 23 18 0.5107
7 23 19 0.6712
7 23 20 0.6673
7 23 21 0.907
7 23 22 0.7286
7 23 23 0.6357
7 23 24 0.5147
7 24 1 0.3274
7 24 2 0.2848
7 24 3 0.2591
7 24 4 0.2857
7 24 5 0.2586
7 24 6 0.4162
7 24 7 0.448
7 24 8 0.3293
7 24 9 0.3527
7 24 10 0.4178
7 24 11 0.3705
7 24 12 0.4714
7 24 13 0.5359
7 24 14 0.4067
7 24 15 0.3986
7 24 16 0.4675
7 24 17 0.4628
7 24 18 0.5422
7 24 19 0.8342
7 24 20 1.0008
7 24 21 0.884
7 24 22 0.9356
7 24 23 0.6168
7 24 24 0.4037
7 25 1 0.445
7 25 2 0.4003
7 25 3 0.3536
7 25 4 0.4289
7 25 5 0.3524
7 25 6 0.5652
7 25 7 0.7066
7 25 8 0.6921
7 25 9 0.613
7 25 10 0.5768
7 25 11 0.6238
7 25 12 0.5736
7 25 13 0.5538
7 25 14 0.6116
7 25 15 0.5601
7 25 16 0.608
7 25 17 0.4466
7 25 18 0.5392
7 25 19 0.7803
7 25 20 0.7425
7 25 21 0.9878
7 25 22 0.8574
7 25 23 0.7365
7 25 24 0.5585
7 26 1 0.3003
7 26 2 0.254
7 26 3 0.2663
7 26 4 0.2801
7 26 5 0.2521
7 26 6 0.3792
7 26 7 0.4715
7 26 8 0.3761
7 26 9 0.3649
7 26 10 0.473
7 26 11 0.3969
7 26 12 0.4455
7 26 13 0.5817
7 26 14 0.4068
7 26 15 0.3955
7 26 16 0.4386
7 26 17 0.4648
7 26 18 0.511
7 26 19 0.8435
7 26 20 0.9832
7 26 21 0.9074
7 26 22 0.9569
7 26 23 0.592
7 26 24 0.3423
7 27 1 0.455
7 27 2 0.4112
7 27 3 0.3571
7 27 4 0.409
7 27 5 0.3946
7 27 6 0.487
7 27 7 0.6672
7 27 8 0.685
7 27 9 0.5629
7 27 10 0.6361
7 27 11 0.6471
7 27 12 0.5071
7 27 13 0.5646
7 27 14 0.6189
7 27 15 0.5824
7 27 16 0.6071
7 27 17 0.5069
7 27 18 0.539
7 27 19 0.6996
7 27 20 0.8662
7 27 21 0.9961
7 27 22 0.8277
7 27 23 0.6197
7 27 24 0.5286
7 28 1 0.4934
7 28 2 0.4258
7 28 3 0.3616
7 28 4 0.3981
7 28 5 0.4244
7 28 6 0.5325
7 28 7 0.6665
7 28 8 0.6462
7 28 9 0.5478
7 28 10 0.6055
7 28 11 0.6173
7 28 12 0.5559
7 28 13 0.6445
7 28 14 0.5895
7 28 15 0.5994
7 28 16 0.5881
7 28 17 0.4819
7 28 18 0.5793
7 28 19 0.7783
7 28 20 0.9001
7 28 21 0.9594
7 28 22 0.8074
7 28 23 0.7141
7 28 24 0.5591
7 29 1 0.3204
7 29 2 0.2811
7 29 3 0.2832
7 29 4 0.2525
7 29 5 0.2629
7 29 6 0.4188
7 29 7 0.4072
7 29 8 0.3388
7 29 9 0.3282
7 29 10 0.4124
7 29 11 0.407
7 29 12 0.4234
7 29 13 0.5255
7 29 14 0.375
7 29 15 0.424
7 29 16 0.4534
7 29 17 0.4473
7 29 18 0.4757
7 29 19 0.7873
7 29 20 0.8708
7 29 21 0.8841
7 29 22 1.0098
7 29 23 0.6781
7 29 24 0.3602
7 30 1 0.2758
7 30 2 0.3028
7 30 3 0.2709
7 30 4 0.2604
7 30 5 0.3123
7 30 6 0.3268
7 30 7 0.3896
7 30 8 0.3812
7 30 9 0.3705
7 30 10 0.4723
7 30 11 0.5655
7 30 12 0.5947
7 30 13 0.4978
7 30 14 0.5131
7 30 15 0.4904
7 30 16 0.4282
7 30 17 0.496
7 30 18 0.6535
7 30 19 0.9182
7 30 20 0.9739
7 30 21 0.8639
7 30 22 0.8197
7 30 23 0.5686
7 30 24 0.4388
7 31 1 0.2761
7 31 2 0.3313
7 31 3 0.2648
7 31 4 0.2494
7 31 5 0.3037
7 31 6 0.3074
7 31 7 0.3663
7 31 8 0.3628
7 31 9 0.4106
7 31 10 0.5017
7 31 11 0.4816
7 31 12 0.567
7 31 13 0.5785
7 31 14 0.5203
7 31 15 0.5111
7 31 16 0.4589
7 31 17 0.5602
7 31 18 0.5903
7 31 19 0.9963
7 31 20 1.0528
7 31 21 0.9474
7 31 22 0.756
7 31 23 0.6914
7 31 24 0.4074
7 32 1 0.4505
7 32 2 0.4491
7 32 3 0.3493
7 32 4 0.4355
7 32 5 0.3651
7 32 6 0.4829
7 32 7 0.7462
7 32 8 0.7348
7 32 9 0.5967
7 32 10 0.6301
7 32 11 0.6061
7 32 12 0.572
7 32 13 0.5684
7 32 14 0.6073
7 32 15 0.588
7 32 16 0.6553
7 32 17 0.488
7 32 18 0.5462
7 32 19 0.6514
7 32 20 0.8396
7 32 21 0.9789
7 32 22 0.8482
7 32 23 0.6413
7 32 24 0.5369
7 33 1 0.2771
7 33 2 0.244
7 33 3 0.2614
7 33 4 0.2588
7 33 5 0.2403
7 33 6 0.4077
7 33 7 0.6673
7 33 8 0.432
7 33 9 0.4752
7 33 10 0.3886
7 33 11 0.3702
7 33 12 0.5586
7 33 13 0.432
7 33 14 0.3928
7 33 15 0.3916
7 33 16 0.4476
7 33 17 0.5336
7 33 18 0.3309
7 33 19 0.5699
7 33 20 0.855
7 33 21 0.9427
7 33 22 0.855
7 33 23 0.7014
7 33 24 0.3531
8 2 1 0.3043
8 2 2 0.3254
8 2 3 0.2481
8 2 4 0.2527
8 2 5 0.2882
8 2 6 0.3165
8 2 7 0.4124
8 2 8 0.3986
8 2 9 0.4163
8 2 10 0.4542
8 2 11 0.4854
8 2 12 0.5598
8 2 13 0.5501
8 2 14 0.4721
8 2 15 0.4577
8 2 16 0.3981
8 2 17 0.5352
8 2 18 0.5562
8 2 19 0.9714
8 2 20 0.9745
8 2 21 0.8107
8 2 22 0.785
8 2 23 0.6151
8 2 24 0.4655
8 3 1 0.3132
8 3 2 0.282
8 3 3 0.265
8 3 4 0.2886
8 3 5 0.2397
8 3 6 0.4318
8 3 7 0.4614
8 3 8 0.3626
8 3 9 0.3614
8 3 10 0.4431
8 3 11 0.3771
8 3 12 0.4489
8 3 13 0.552
8 3 14 0.4172
8 3 15 0.3912
8 3 16 0.4604
8 3 17 0.4534
8 3 18 0.5285
8 3 19 0.8044
8 3 20 0.9145
8 3 21 1.0127
8 3 22 0.9106
8 3 23 0.6132
8 3 24 0.3844
8 4 1 0.3392
8 4 2 0.36
8 4 3 0.3823
8 4 4 0.3513
8 4 5 0.3085
8 4 6 0.3726
8 4 7 0.3695
8 4 8 0.5542
8 4 9 0.6814
8 4 10 0.4746
8 4 11 0.5647
8 4 12 0.9839
8 4 13 0.9891
8 4 14 0.7055
8 4 15 0.6012
8 4 16 0.6916
8 4 17 0.5807
8 4 18 0.4486
8 4 19 0.619
8 4 20 0.7833
8 4 21 0.8745
8 4 22 0.7009
8 4 23 0.6848
8 4 24 0.5413
8 5 1 0.2785
8 5 2 0.26
8 5 3 0.2682
8 5 4 0.2435
8 5 5 0.261
8 5 6 0.4128
8 5 7 0.4109
8 5 8 0.3748
8 5 9 0.3818
8 5 10 0.4847
8 5 11 0.4103
8 5 12 0.4171
8 5 13 0.5158
8 5 14 0.3763
8 5 15 0.4043
8 5 16 0.4873
8 5 17 0.4552
8 5 18 0.5032
8 5 19 0.7498
8 5 20 0.9533
8 5 21 0.9579
8 5 22 0.9914
8 5 23 0.6366
8 5 24 0.3872
8 6 1 0.3128
8 6 2 0.414
8 6 3 0.3515
8 6 4 0.3223
8 6 5 0.3148
8 6 6 0.3359
8 6 7 0.353
8 6 8 0.5359
8 6 9 0.6735
8 6 10 0.5666
8 6 11 0.5956
8 6 12 0.9537
8 6 13 0.9503
8 6 14 0.7376
8 6 15 0.6894
8 6 16 0.6332
8 6 17 0.5022
8 6 18 0.4494
8 6 19 0.673
8 6 20 0.7353
8 6 21 0.8773
8 6 22 0.7849
8 6 23 0.6694
8 6 24 0.4953
8 7 1 0.2922
8 7 2 0.2795
8 7 3 0.2837
8 7 4 0.2892
8 7 5 0.2574
8 7 6 0.4058
8 7 7 0.4793
8 7 8 0.3578
8 7 9 0.3523
8 7 10 0.483
8 7 11 0.4494
8 7 12 0.4824
8 7 13 0.5312
8 7 14 0.3582
8 7 15 0.4491
8 7 16 0.4624
8 7 17 0.4443
8 7 18 0.4921
8 7 19 0.7833
8 7 20 0.8511
8 7 21 0.9062
8 7 22 1.0095
8 7 23 0.6855
8 7 24 0.3597
8 8 1 0.3196
8 8 2 0.381
8 8 3 0.3817
8 8 4 0.3338
8 8 5 0.3241
8 8 6 0.3345
8 8 7 0.3444
8 8 8 0.5152
8 8 9 0.5723
8 8 10 0.5391
8 8 11 0.5747
8 8 12 1.0164
8 8 13 0.9837
8 8 14 0.724
8 8 15 0.6288
8 8 16 0.6319
8 8 17 0.5198
8 8 18 0.4672
8 8 19 0.6595
8 8 20 0.6575
8 8 21 0.7854
8 8 22 0.7798
8 8 23 0.7053
8 8 24 0.5981
8 9 1 0.4346
8 9 2 0.4085
8 9 3 0.3497
8 9 4 0.4744
8 9 5 0.3815
8 9 6 0.5659
8 9 7 0.6377
8 9 8 0.7223
8 9 9 0.6085
8 9 10 0.5335
8 9 11 0.6052
8 9 12 0.4931
8 9 13 0.6151
8 9 14 0.6229
8 9 15 0.5779
8 9 16 0.5674
8 9 17 0.4931
8 9 18 0.5894
8 9 19 0.7175
8 9 20 0.7836
8 9 21 0.9619
8 9 22 0.799
8 9 23 0.6765
8 9 24 0.5498
8 10 1 0.2793
8 10 2 0.2799
8 10 3 0.2504
8 10 4 0.2719
8 10 5 0.2449
8 10 6 0.441
8 10 7 0.434
8 10 8 0.3354
8 10 9 0.3253
8 10 10 0.4662
8 10 11 0.3776
8 10 12 0.4945
8 10 13 0.5287
8 10 14 0.4283
8 10 15 0.4243
8 10 16 0.4638
8 10 17 0.4929
8 10 18 0.5486
8 10 19 0.8052
8 10 20 0.852
8 10 21 1.0512
8 10 22 1.0774
8 10 23 0.6811
8 10 24 0.3481
8 11 1 0.4115
8 11 2 0.4332
8 11 3 0.3528
8 11 4 0.4166
8 11 5 0.3895
8 11 6 0.5211
8 11 7 0.6457
8 11 8 0.6623
8 11 9 0.5557
8 11 10 0.5486
8 11 11 0.5685
8 11 12 0.508
8 11 13 0.5348
8 11 14 0.6611
8 11 15 0.5794
8 11 16 0.634
8 11 17 0.4334
8 11 18 0.4937
8 11 19 0.6816
8 11 20 0.8207
8 11 21 0.9981
8 11 22 0.8147
8 11 23 0.7257
8 11 24 0.6109
8 12 1 0.2987
8 12 2 0.2959
8 12 3 0.2376
8 12 4 0.2777
8 12 5 0.2593
8 12 6 0.4254
8 12 7 0.4367
8 12 8 0.3854
8 12 9 0.338
8 12 10 0.467
8 12 11 0.3944
8 12 12 0.4781
8 12 13 0.5785
8 12 14 0.3559
8 12 15 0.4155
8 12 16 0.4574
8 12 17 0.4445
8 12 18 0.5506
8 12 19 0.8399
8 12 20 0.9786
8 12 21 0.9586
8 12 22 1.003
8 12 23 0.6937
8 12 24 0.3847
8 13 1 0.4868
8 13 2 0.3813
8 13 3 0.4037
8 13 4 0.4717
8 13 5 0.4272
8 13 6 0.5619
8 13 7 0.6282
8 13 8 0.6665
8 13 9 0.624
8 13 10 0.6453
8 13 11 0.6539
8 13 12 0.5427
8 13 13 0.6405
8 13 14 0.614
8 13 15 0.6191
8 13 16 0.6211
8 13 17 0.4995
8 13 18 0.5672
8 13 19 0.7856
8 13 20 0.8556
8 13 21 1.0117
8 13 22 0.7776
8 13 23 0.6867
8 13 24 0.6215
8 14 1 0.327
8 14 2 0.3559
8 14 3 0.3732
8 14 4 0.3163
8 14 5 0.3212
8 14 6 0.3673
8 14 7 0.3485
8 14 8 0.6182
8 14 9 0.5793
8 14 10 0.5588
8 14 11 0.5296
8 14 12 0.9028
8 14 13 0.9648
8 14 14 0.8095
8 14 15 0.7226
8 14 16 0.7054
8 14 17 0.5152
8 14 18 0.4835
8 14 19 0.6369
8 14 20 0.6602
8 14 21 0.7667
8 14 22 0.7707
8 14 23 0.7345
8 14 24 0.6012
8 15 1 0.2761
8 15 2 0.246
8 15 3 0.2565
8 15 4 0.2523
8 15 5 0.2088
8 15 6 0.4023
8 15 7 0.6939
8 15 8 0.3985
8 15 9 0.4076
8 15 10 0.3939
8 15 11 0.3715
8 15 12 0.5029
8 15 13 0.3938
8 15 14 0.3595
8 15 15 0.4024
8 15 16 0.428
8 15 17 0.4707
8 15 18 0.3498
8 15 19 0.612
8 15 20 0.8273
8 15 21 0.9195
8 15 22 0.8449
8 15 23 0.6284
8 15 24 0.34
8 16 1 0.2934
8 16 2 0.2475
8 16 3 0.2737
8 16 4 0.2352
8 16 5 0.2279
8 16 6 0.419
8 16 7 0.682
8 16 8 0.4386
8 16 9 0.4794
8 16 10 0.3659
8 16 11 0.3974
8 16 12 0.5405
8 16 13 0.4183
8 16 14 0.402
8 16 15 0.3814
8 16 16 0.4339
8 16 17 0.5051
8 16 18 0.3528
8 16 19 0.5869
8 16 20 0.8885
8 16 21 1.0508
8 16 22 0.8115
8 16 23 0.6936
8 16 24 0.3448
8 17 1 0.3182
8 17 2 0.3904
8 17 3 0.4157
8 17 4 0.3695
8 17 5 0.3461
8 17 6 0.3456
8 17 7 0.3797
8 17 8 0.5584
8 17 9 0.5841
8 17 10 0.5266
8 17 11 0.5581
8 17 12 0.906
8 17 13 0.958
8 17 14 0.7633
8 17 15 0.6362
8 17 16 0.6992
8 17 17 0.5529
8 17 18 0.4771
8 17 19 0.5811
8 17 20 0.6875
8 17 21 0.7644
8 17 22 0.7779
8 17 23 0.6368
8 17 24 0.5811
8 18 1 0.4621
8 18 2 0.4373
8 18 3 0.4162
8 18 4 0.4793
8 18 5 0.4067
8 18 6 0.4797
8 18 7 0.7442
8 18 8 0.7194
8 18 9 0.5351
8 18 10 0.5866
8 18 11 0.5827
8 18 12 0.538
8 18 13 0.615
8 18 14 0.5966
8 18 15 0.5795
8 18 16 0.5591
8 18 17 0.5196
8 18 18 0.53
8 18 19 0.7066
8 18 20 0.763
8 18 21 1.0065
8 18 22 0.7714
8 18 23 0.6982
8 18 24 0.5581
8 19 1 0.3075
8 19 2 0.2689
8 19 3 0.2599
8 19 4 0.2759
8 19 5 0.2381
8 19 6 0.4363
8 19 7 0.433
8 19 8 0.3915
8 19 9 0.3653
8 19 10 0.4061
8 19 11 0.4472
8 19 12 0.4502
8 19 13 0.5512
8 19 14 0.4285
8 19 15 0.3873
8 19 16 0.4708
8 19 17 0.492
8 19 18 0.468
8 19 19 0.8095
8 19 20 0.8649
8 19 21 1.0775
8 19 22 1.0418
8 19 23 0.5883
8 19 24 0.3446
8 20 1 0.4748
8 20 2 0.4346
8 20 3 0.3884
8 20 4 0.44
8 20 5 0.3916
8 20 6 0.5546
8 20 7 0.6799
8 20 8 0.7092
8 20 9 0.5329
8 20 10 0.6207
8 20 11 0.6382
8 20 12 0.5849
8 20 13 0.6087
8 20 14 0.589
8 20 15 0.5639
8 20 16 0.641
8 20 17 0.5051
8 20 18 0.5833
8 20 19 0.6565
8 20 20 0.8883
8 20 21 0.9315
8 20 22 0.7461
8 20 23 0.6765
8 20 24 0.631
8 21 1 0.3064
8 21 2 0.3045
8 21 3 0.246
8 21 4 0.2723
8 21 5 0.2967
8 21 6 0.3185
8 21 7 0.4107
8 21 8 0.4029
8 21 9 0.4035
8 21 10 0.4322
8 21 11 0.4899
8 21 12 0.5166
8 21 13 0.5771
8 21 14 0.5422
8 21 15 0.4364
8 21 16 0.4517
8 21 17 0.5401
8 21 18 0.5653
8 21 19 0.9419
8 21 20 0.9241
8 21 21 0.904
8 21 22 0.6994
8 21 23 0.6257
8 21 24 0.4676
8 22 1 0.2816
8 22 2 0.2651
8 22 3 0.2523
8 22 4 0.2668
8 22 5 0.257
8 22 6 0.4374
8 22 7 0.4227
8 22 8 0.3389
8 22 9 0.3617
8 22 10 0.481
8 22 11 0.394
8 22 12 0.4376
8 22 13 0.5238
8 22 14 0.4211
8 22 15 0.4247
8 22 16 0.4281
8 22 17 0.4288
8 22 18 0.4882
8 22 19 0.8279
8 22 20 0.8697
8 22 21 1.0186
8 22 22 0.9787
8 22 23 0.6555
8 22 24 0.3608
8 23 1 0.3012
8 23 2 0.2886
8 23 3 0.2459
8 23 4 0.2866
8 23 5 0.3208
8 23 6 0.3058
8 23 7 0.377
8 23 8 0.3473
8 23 9 0.4388
8 23 10 0.4803
8 23 11 0.5773
8 23 12 0.5917
8 23 13 0.5892
8 23 14 0.4707
8 23 15 0.4993
8 23 16 0.3971
8 23 17 0.5189
8 23 18 0.6233
8 23 19 0.9348
8 23 20 1.0041
8 23 21 0.9779
8 23 22 0.7041
8 23 23 0.6763
8 23 24 0.405
8 24 1 0.2753
8 24 2 0.3046
8 24 3 0.2766
8 24 4 0.2834
8 24 5 0.3047
8 24 6 0.3495
8 24 7 0.3957
8 24 8 0.3504
8 24 9 0.4387
8 24 10 0.4382
8 24 11 0.5001
8 24 12 0.5638
8 24 13 0.502
8 24 14 0.5402
8 24 15 0.482
8 24 16 0.4321
8 24 17 0.4774
8 24 18 0.5592
8 24 19 0.9426
8 24 20 0.9701
8 24 21 0.816
8 24 22 0.7494
8 24 23 0.5846
8 24 24 0.4664
8 25 1 0.3038
8 25 2 0.347
8 25 3 0.3539
8 25 4 0.3495
8 25 5 0.309
8 25 6 0.335
8 25 7 0.4067
8 25 8 0.5856
8 25 9 0.6589
8 25 10 0.4812
8 25 11 0.554
8 25 12 1.0045
8 25 13 0.9087
8 25 14 0.7414
8 25 15 0.616
8 25 16 0.6449
8 25 17 0.499
8 25 18 0.4778
8 25 19 0.5668
8 25 20 0.7133
8 25 21 0.8715
8 25 22 0.7366
8 25 23 0.6588
8 25 24 0.5731
8 26 1 0.2962
8 26 2 0.3119
8 26 3 0.2661
8 26 4 0.2439
8 26 5 0.3341
8 26 6 0.3035
8 26 7 0.3503
8 26 8 0.3866
8 26 9 0.4148
8 26 10 0.4307
8 26 11 0.5784
8 26 12 0.5076
8 26 13 0.5116
8 26 14 0.4804
8 26 15 0.4926
8 26 16 0.4261
8 26 17 0.4721
8 26 18 0.6422
8 26 19 0.9713
8 26 20 1.0197
8 26 21 0.9748
8 26 22 0.7632
8 26 23 0.639
8 26 24 0.4158
8 27 1 0.3289
8 27 2 0.2959
8 27 3 0.28
8 27 4 0.2759
8 27 5 0.245
8 27 6 0.4276
8 27 7 0.4322
8 27 8 0.3699
8 27 9 0.3414
8 27 10 0.4618
8 27 11 0.3897
8 27 12 0.4893
8 27 13 0.5245
8 27 14 0.3725
8 27 15 0.4177
8 27 16 0.4083
8 27 17 0.5128
8 27 18 0.568
8 27 19 0.7684
8 27 20 0.8673
8 27 21 1.0699
8 27 22 0.9158
8 27 23 0.5947
8 27 24 0.3618
8 28 1 0.3117
8 28 2 0.3661
8 28 3 0.3909
8 28 4 0.345
8 28 5 0.3189
8 28 6 0.3562
8 28 7 0.3448
8 28 8 0.6252
8 28 9 0.6816
8 28 10 0.5496
8 28 11 0.554
8 28 12 0.9166
8 28 13 0.8725
8 28 14 0.6952
8 28 15 0.6148
8 28 16 0.7017
8 28 17 0.5887
8 28 18 0.4341
8 28 19 0.5988
8 28 20 0.7612
8 28 21 0.8731
8 28 22 0.7844
8 28 23 0.6097
8 28 24 0.5361
8 29 1 0.3006
8 29 2 0.3639
8 29 3 0.3421
8 29 4 0.3413
8 29 5 0.331
8 29 6 0.3703
8 29 7 0.3698
8 29 8 0.5628
8 29 9 0.5983
8 29 10 0.5157
8 29 11 0.5908
8 29 12 0.9716
8 29 13 0.9452
8 29 14 0.6888
8 29 15 0.6409
8 29 16 0.6217
8 29 17 0.5836
8 29 18 0.4619
8 29 19 0.5602
8 29 20 0.776
8 29 21 0.7585
8 29 22 0.6871
8 29 23 0.6456
8 29 24 0.5472
8 30 1 0.4477
8 30 2 0.3859
8 30 3 0.4041
8 30 4 0.418
8 30 5 0.3522
8 30 6 0.5425
8 30 7 0.7373
8 30 8 0.7028
8 30 9 0.648
8 30 10 0.5967
8 30 11 0.6098
8 30 12 0.5681
8 30 13 0.5426
8 30 14 0.6717
8 30 15 0.6424
8 30 16 0.5659
8 30 17 0.4548
8 30 18 0.5249
8 30 19 0.6767
8 30 20 0.7484
8 30 21 0.9683
8 30 22 0.8506
8 30 23 0.6346
8 30 24 0.5708
8 31 1 0.3164
8 31 2 0.2679
8 31 3 0.2371
8 31 4 0.2583
8 31 5 0.2431
8 31 6 0.4088
8 31 7 0.4189
8 31 8 0.3936
